type,program,catalog,reqs_url,4_yr_plan
BS,Biology: Option 9,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option9-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 9,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option9-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option9-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 9,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option9-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option9-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 10,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option10-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option10-computational-biology-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 10,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option10-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 10,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option10-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option10-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 10,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option10-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option10-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 11,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option11-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 11,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option11-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option11-4-yr-plan-18-20-catalog.pdf
BS,Biology: Option 11,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option11-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option11-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 12,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option12-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option12-4-yr-plan-20-22-catalog.pdf
BS,Biology: Option 12,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option12-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option12-4-yr-plan-22-24-catalog_0.pdf
BS,Biology: Option 12,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option12-degree-checklist-16-18-catalog.pdf,N/A
BS,Biology: Option 12,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-biology-option12-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-biology-option12-4-yr-plan-18-20-catalog.pdf
BA,Chemistry,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-ba-chemistry-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-ba-chemistry-4-yr-plan-20-22-catalog.pdf
BA,Chemistry,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-ba-chemistry-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-ba-chemistry-4-yr-plan-22-24-catalog.pdf
BA,Chemistry,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-ba-chemistry-degree-checklist-16-18-catalog.pdf,N/A
BA,Chemistry,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-ba-chemistry-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-ba-chemistry-4-yr-plan-18-20-catalog.pdf
BSA,Chemistry,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-chemistry-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-chemistry-4-yr-plan-20-22-catalog.pdf
BSA,Chemistry,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-chemistry-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-chemistry-4-yr-plan-22-24-catalog.pdf
BSA,Chemistry,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-chemistry-degree-checklist-16-18-catalog.pdf,N/A
BSA,Chemistry,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-chemistry-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-chemistry-4-yr-plan-18-20-catalog.pdf
BSA,Chemistry,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bsa-chemistry-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bsa-chemistry-honors-4-yr-plan-18-20-catalog.pdf
BS,Chemistry: Focus Area 1,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area1-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area1-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 1,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area1-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area1-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Focus Area 2,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area2-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area2-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 2,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area2-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area2-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Focus Area 3,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area3-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area3-materials-chemistry-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 3,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area3-degree-checklist-22-24-catalog_0.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area3-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Focus Area 4,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area4-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area4-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 4,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area4-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area4-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Focus Area 5,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area5-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area5-teaching-m-ps-e-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 5,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area5-degree-checklist-20-22-catalog_0.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area5-teaching-physical-science-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 5,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area5-degree-checklist-20-22-catalog_1.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area5-teaching-composite-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 5,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area5-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area5-teaching-composite-sci-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Focus Area 5,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area5-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area5-teaching-physical-sci-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Focus Area 5,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area5-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area5-teaching-m-ps-e-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Focus Area 6,2020–2022,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area6-degree-checklist-20-22-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area6-honors-4-yr-plan-20-22-catalog.pdf
BS,Chemistry: Focus Area 6,2022–2024,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-focus-area6-degree-checklist-22-24-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-focus-area6-honors-4-yr-plan-22-24-catalog.pdf
BS,Chemistry: Option 1,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-option1-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-option1-4-yr-plan-18-20-catalog.pdf
BS,Chemistry: Option 1,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-option1-degree-checklist-16-18-catalog.pdf,N/A
BS,Chemistry: Option 2,2018–2020,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-option2-degree-checklist-18-20-catalog.pdf,https://cns.utexas.edu/sites/default/files/uploads/degree-plans/ut-bs-chemistry-option2-4-yr-plan-18-20-catalog.pdf
BS,Chemistry: Option 2,2016–2018,https://cns.utexas.edu/sites/default/files/uploads/degree-checklists/ut-bs-chemistry-option2-degree-checklist-16-18-catalog.pdf,N/A
